Rank,Feature,SFS_SVM,SFS_KNN,SFS_LR,SFS_DT,SFS_RF,SFS_XGB,SFS_MLP
1,age,,,,,,,
2,cadence_30_avg_w,1,1,,,,,1
3,cadence_30_p90_w,1,1,1,,,1,1
4,cadence_all_avg_w,1,1,,,,,
5,cadence_all_var_w,1,1,1,,,1,1
6,gender,,,,1,,,
7,n_days_w,,,,1,1,,1
8,strdur_30_avg_w,,,,,,,
9,strdur_all_avg_w,,1,,,,,
10,strdur_all_var_w,,,,,,,
11,strlen_1030_avg_w,,,,,,,
12,strlen_30_avg_w,,,,,,,
13,strlen_30_var_w,,,,,,,
14,time_since_diag,,,,,,,
15,time_since_onset,,,,,,,
16,walkdur_all_sum_w,,,,,,,
17,wb_10_sum_w,,,,,,,
18,wb_30_sum_w,,,,,,,
19,wb_60_sum_w,,,,,,,
20,wb_all_sum_w,,,1,,,,
21,wbdur_all_avg_w,,,,1,1,,
22,wbdur_all_p90_w,,1,,,,,1
23,wbdur_all_var_w,1,1,,,,,
24,wbsteps_all_sum_w,,,,,,,
25,ws_10_p90_w,,,,,,,
26,ws_1030_avg_w,,,,,,,
27,ws_30_avg_w,,,1,,,,
28,ws_30_p90_w,,,,,,,
29,ws_30_var_w,,,,,,,
